"predecessor","predecessorcid","transformation","successor","successorcid","evidencedoi","evidenceref","sourcecomment","sourcecommentfull","datasetref","enzyme","datasetdoi","biosystem","CID_to_CID","IK_to_IK","IKFB_to_IKFB","ReactionSMILES","DescReactionSMILES","predecessorEM","successorEM","MassDiff","XlogPDiff"
"Terbutryn",13450,"Deethylation","Irgarol-descyclopropyl","13019211","10.1007/s13361-017-1797-6","Schollee et al, Similarity of High-Resolution Tandem Mass Spectrometry Spectra of Structurally Related Micropollutants and Transformation Products, J. Am. Soc. Mass Spectrom. 2017, 28, 12, 2692-2704.","Eawag","Eawag: Swiss Federal Institute for Aquatic Science and Technology (https://www.eawag.ch/en/)","S66 | EAWAGTPS | Parent-Transformation Product Pairs from Eawag | Parent-Transformation Product Pairs from Schollee et al 2017, Eawag.","","10.5281/zenodo.3754449","","13450>>13019211","IROINLKCQGIITA-UHFFFAOYSA-N>>MWWBDLRPMWTLRX-UHFFFAOYSA-N","IROINLKCQGIITA>>MWWBDLRPMWTLRX","CCNC1=NC(=NC(=N1)SC)NC(C)(C)C>>CC(C)(C)NC1=NC(=NC(=N1)N)SC","CCNC1=NC(=NC(=N1)SC)NC(C)(C)C>[Deethylation]>CC(C)(C)NC1=NC(=NC(=N1)N)SC CID: 13450 to CID: 13019211","241.1361168","213.10481667","-28.03130013","-1"
"Terbutryn",13450,"Mammalian metabolism","Deethylterbutryne","13019211","10.5281/zenodo.3827487","The Royal Society of Chemistry. Foreign Compound Metabolism in Mammals. Volume 6: A Review of the Literature Published during 1978 and 1979. London: The Royal Society of Chemistry, 1981., p. 323","HSDB","HSDB is a toxicology database that focuses on the toxicology of potentially hazardous chemicals. See https://pubchem.ncbi.nlm.nih.gov/source/11933","S68 | HSDBTPS | Transformation Products Extracted from HSDB Content in PubChem, validated by LCSB-ECI","","10.5281/zenodo.3827487","Mammal","13450>>13019211","IROINLKCQGIITA-UHFFFAOYSA-N>>MWWBDLRPMWTLRX-UHFFFAOYSA-N","IROINLKCQGIITA>>MWWBDLRPMWTLRX","CCNC1=NC(=NC(=N1)SC)NC(C)(C)C>>CC(C)(C)NC1=NC(=NC(=N1)N)SC","CCNC1=NC(=NC(=N1)SC)NC(C)(C)C>[Mammalian metabolism]>CC(C)(C)NC1=NC(=NC(=N1)N)SC CID: 13450 to CID: 13019211","241.1361168","213.10481667","-28.03130013","-1"
"Terbutryn",13450,"Mammalian metabolism","Deethylterbutryne","13019211","PMID:678607","PMID:678607","HSDB","HSDB is a toxicology database that focuses on the toxicology of potentially hazardous chemicals. See https://pubchem.ncbi.nlm.nih.gov/source/11933","S68 | HSDBTPS | Transformation Products Extracted from HSDB Content in PubChem, validated by LCSB-ECI","","10.5281/zenodo.3827487","Mammal","13450>>13019211","IROINLKCQGIITA-UHFFFAOYSA-N>>MWWBDLRPMWTLRX-UHFFFAOYSA-N","IROINLKCQGIITA>>MWWBDLRPMWTLRX","CCNC1=NC(=NC(=N1)SC)NC(C)(C)C>>CC(C)(C)NC1=NC(=NC(=N1)N)SC","CCNC1=NC(=NC(=N1)SC)NC(C)(C)C>[Mammalian metabolism]>CC(C)(C)NC1=NC(=NC(=N1)N)SC CID: 13450 to CID: 13019211","241.1361168","213.10481667","-28.03130013","-1"
"Terbutryn",13450,"Mammalian metabolism","N-ethylcarboxyl-terbutryn","146035700","10.5281/zenodo.3827487","Menzie, C.M. Metabolism of Pesticides-Update III. Special Scientific Report- Wildlife No. 232. Washington, DC: U.S.Department of the Interior, Fish and Wildlife Service, 1980., p. 540","HSDB","HSDB is a toxicology database that focuses on the toxicology of potentially hazardous chemicals. See https://pubchem.ncbi.nlm.nih.gov/source/11933","S68 | HSDBTPS | Transformation Products Extracted from HSDB Content in PubChem, validated by LCSB-ECI","","10.5281/zenodo.3827487","Mammal","13450>>146035700","IROINLKCQGIITA-UHFFFAOYSA-N>>IKBUEYSUOKJGKM-UHFFFAOYSA-N","IROINLKCQGIITA>>IKBUEYSUOKJGKM","CCNC1=NC(=NC(=N1)SC)NC(C)(C)C>>CC(C)(C)NC1=NC(=NC(=N1)NCC(=O)O)SC","CCNC1=NC(=NC(=N1)SC)NC(C)(C)C>[Mammalian metabolism]>CC(C)(C)NC1=NC(=NC(=N1)NCC(=O)O)SC CID: 13450 to CID: 146035700","241.1361168","271.11029598","29.97417918","-0.7"
"Terbutryn",13450,"Mammalian metabolism","N-ethylcarboxyl-terbutryn","146035700","10.5281/zenodo.3827487","The Royal Society of Chemistry. Foreign Compound Metabolism in Mammals. Volume 6: A Review of the Literature Published during 1978 and 1979. London: The Royal Society of Chemistry, 1981., p. 323","HSDB","HSDB is a toxicology database that focuses on the toxicology of potentially hazardous chemicals. See https://pubchem.ncbi.nlm.nih.gov/source/11933","S68 | HSDBTPS | Transformation Products Extracted from HSDB Content in PubChem, validated by LCSB-ECI","","10.5281/zenodo.3827487","Mammal","13450>>146035700","IROINLKCQGIITA-UHFFFAOYSA-N>>IKBUEYSUOKJGKM-UHFFFAOYSA-N","IROINLKCQGIITA>>IKBUEYSUOKJGKM","CCNC1=NC(=NC(=N1)SC)NC(C)(C)C>>CC(C)(C)NC1=NC(=NC(=N1)NCC(=O)O)SC","CCNC1=NC(=NC(=N1)SC)NC(C)(C)C>[Mammalian metabolism]>CC(C)(C)NC1=NC(=NC(=N1)NCC(=O)O)SC CID: 13450 to CID: 146035700","241.1361168","271.11029598","29.97417918","-0.7"
"Terbutryn",13450,"Mammalian metabolism","N-ethylcarboxyl-terbutryn","146035700","PMID:678607","PMID:678607","HSDB","HSDB is a toxicology database that focuses on the toxicology of potentially hazardous chemicals. See https://pubchem.ncbi.nlm.nih.gov/source/11933","S68 | HSDBTPS | Transformation Products Extracted from HSDB Content in PubChem, validated by LCSB-ECI","","10.5281/zenodo.3827487","Mammal","13450>>146035700","IROINLKCQGIITA-UHFFFAOYSA-N>>IKBUEYSUOKJGKM-UHFFFAOYSA-N","IROINLKCQGIITA>>IKBUEYSUOKJGKM","CCNC1=NC(=NC(=N1)SC)NC(C)(C)C>>CC(C)(C)NC1=NC(=NC(=N1)NCC(=O)O)SC","CCNC1=NC(=NC(=N1)SC)NC(C)(C)C>[Mammalian metabolism]>CC(C)(C)NC1=NC(=NC(=N1)NCC(=O)O)SC CID: 13450 to CID: 146035700","241.1361168","271.11029598","29.97417918","-0.7"
"Terbutryn",13450,"Mammalian metabolism","S-Demethyl-desethylterbutryn","146035703","10.5281/zenodo.3827487","Menzie, C.M. Metabolism of Pesticides-Update III. Special Scientific Report- Wildlife No. 232. Washington, DC: U.S.Department of the Interior, Fish and Wildlife Service, 1980., p. 540","HSDB","HSDB is a toxicology database that focuses on the toxicology of potentially hazardous chemicals. See https://pubchem.ncbi.nlm.nih.gov/source/11933","S68 | HSDBTPS | Transformation Products Extracted from HSDB Content in PubChem, validated by LCSB-ECI","","10.5281/zenodo.3827487","Mammal","13450>>146035703","IROINLKCQGIITA-UHFFFAOYSA-N>>PCHYQLJMADFNMW-UHFFFAOYSA-N","IROINLKCQGIITA>>PCHYQLJMADFNMW","CCNC1=NC(=NC(=N1)SC)NC(C)(C)C>>CC(C)(C)NC1=NC(=S)N=C(N1)N","CCNC1=NC(=NC(=N1)SC)NC(C)(C)C>[Mammalian metabolism]>CC(C)(C)NC1=NC(=S)N=C(N1)N CID: 13450 to CID: 146035703","241.1361168","199.08916661","-42.04695019","-3.5"
"Terbutryn",13450,"Mammalian metabolism","S-Demethylterbutryn","14251376","10.5281/zenodo.3827487","The Royal Society of Chemistry. Foreign Compound Metabolism in Mammals. Volume 6: A Review of the Literature Published during 1978 and 1979. London: The Royal Society of Chemistry, 1981., p. 323","HSDB","HSDB is a toxicology database that focuses on the toxicology of potentially hazardous chemicals. See https://pubchem.ncbi.nlm.nih.gov/source/11933","S68 | HSDBTPS | Transformation Products Extracted from HSDB Content in PubChem, validated by LCSB-ECI","","10.5281/zenodo.3827487","Mammal","13450>>14251376","IROINLKCQGIITA-UHFFFAOYSA-N>>XDRGNXNWMORVQP-UHFFFAOYSA-N","IROINLKCQGIITA>>XDRGNXNWMORVQP","CCNC1=NC(=NC(=N1)SC)NC(C)(C)C>>CCNC1=NC(=S)N=C(N1)NC(C)(C)C","CCNC1=NC(=NC(=N1)SC)NC(C)(C)C>[Mammalian metabolism]>CCNC1=NC(=S)N=C(N1)NC(C)(C)C CID: 13450 to CID: 14251376","241.1361168","227.12046674","-14.01565006","-2.8"
"Terbutryn",13450,"Mammalian metabolism","S-Demethylterbutryn","14251376","PMID:678607","PMID:678607","HSDB","HSDB is a toxicology database that focuses on the toxicology of potentially hazardous chemicals. See https://pubchem.ncbi.nlm.nih.gov/source/11933","S68 | HSDBTPS | Transformation Products Extracted from HSDB Content in PubChem, validated by LCSB-ECI","","10.5281/zenodo.3827487","Mammal","13450>>14251376","IROINLKCQGIITA-UHFFFAOYSA-N>>XDRGNXNWMORVQP-UHFFFAOYSA-N","IROINLKCQGIITA>>XDRGNXNWMORVQP","CCNC1=NC(=NC(=N1)SC)NC(C)(C)C>>CCNC1=NC(=S)N=C(N1)NC(C)(C)C","CCNC1=NC(=NC(=N1)SC)NC(C)(C)C>[Mammalian metabolism]>CCNC1=NC(=S)N=C(N1)NC(C)(C)C CID: 13450 to CID: 14251376","241.1361168","227.12046674","-14.01565006","-2.8"
"Terbutryn",13450,"Mammalian metabolism","t-Butylcarboxyl-terbutryn","110189337","10.5281/zenodo.3827487","The Royal Society of Chemistry. Foreign Compound Metabolism in Mammals. Volume 6: A Review of the Literature Published during 1978 and 1979. London: The Royal Society of Chemistry, 1981., p. 323","HSDB","HSDB is a toxicology database that focuses on the toxicology of potentially hazardous chemicals. See https://pubchem.ncbi.nlm.nih.gov/source/11933","S68 | HSDBTPS | Transformation Products Extracted from HSDB Content in PubChem, validated by LCSB-ECI","","10.5281/zenodo.3827487","Mammal","13450>>110189337","IROINLKCQGIITA-UHFFFAOYSA-N>>CDSBNAYVVOJBLG-UHFFFAOYSA-N","IROINLKCQGIITA>>CDSBNAYVVOJBLG","CCNC1=NC(=NC(=N1)SC)NC(C)(C)C>>CCNC1=NC(=NC(=N1)SC)NC(C)(C)C(=O)O","CCNC1=NC(=NC(=N1)SC)NC(C)(C)C>[Mammalian metabolism]>CCNC1=NC(=NC(=N1)SC)NC(C)(C)C(=O)O CID: 13450 to CID: 110189337","241.1361168","271.11029598","29.97417918","-1.7"
"Terbutryn",13450,"Mammalian metabolism","t-Butylcarboxyl-terbutryn","110189337","PMID:678607","PMID:678607","HSDB","HSDB is a toxicology database that focuses on the toxicology of potentially hazardous chemicals. See https://pubchem.ncbi.nlm.nih.gov/source/11933","S68 | HSDBTPS | Transformation Products Extracted from HSDB Content in PubChem, validated by LCSB-ECI","","10.5281/zenodo.3827487","Mammal","13450>>110189337","IROINLKCQGIITA-UHFFFAOYSA-N>>CDSBNAYVVOJBLG-UHFFFAOYSA-N","IROINLKCQGIITA>>CDSBNAYVVOJBLG","CCNC1=NC(=NC(=N1)SC)NC(C)(C)C>>CCNC1=NC(=NC(=N1)SC)NC(C)(C)C(=O)O","CCNC1=NC(=NC(=N1)SC)NC(C)(C)C>[Mammalian metabolism]>CCNC1=NC(=NC(=N1)SC)NC(C)(C)C(=O)O CID: 13450 to CID: 110189337","241.1361168","271.11029598","29.97417918","-1.7"
"Terbutryn",13450,"Mammalian metabolism","t-Butylhydroxy-terbutryn","146035701","10.5281/zenodo.3827487","Menzie, C.M. Metabolism of Pesticides-Update III. Special Scientific Report- Wildlife No. 232. Washington, DC: U.S.Department of the Interior, Fish and Wildlife Service, 1980., p. 540","HSDB","HSDB is a toxicology database that focuses on the toxicology of potentially hazardous chemicals. See https://pubchem.ncbi.nlm.nih.gov/source/11933","S68 | HSDBTPS | Transformation Products Extracted from HSDB Content in PubChem, validated by LCSB-ECI","","10.5281/zenodo.3827487","Mammal","13450>>146035701","IROINLKCQGIITA-UHFFFAOYSA-N>>IPQDKPPIYWXHHF-UHFFFAOYSA-N","IROINLKCQGIITA>>IPQDKPPIYWXHHF","CCNC1=NC(=NC(=N1)SC)NC(C)(C)C>>CCNC1=NC(=NC(=N1)SC)NC(C)(C)CO","CCNC1=NC(=NC(=N1)SC)NC(C)(C)C>[Mammalian metabolism]>CCNC1=NC(=NC(=N1)SC)NC(C)(C)CO CID: 13450 to CID: 146035701","241.1361168","257.13103142","15.99491462","-1"
"Terbutryn",13450,"Mammalian metabolism","t-Butylhydroxy-terbutryn","146035701","10.5281/zenodo.3827487","The Royal Society of Chemistry. Foreign Compound Metabolism in Mammals. Volume 6: A Review of the Literature Published during 1978 and 1979. London: The Royal Society of Chemistry, 1981., p. 323","HSDB","HSDB is a toxicology database that focuses on the toxicology of potentially hazardous chemicals. See https://pubchem.ncbi.nlm.nih.gov/source/11933","S68 | HSDBTPS | Transformation Products Extracted from HSDB Content in PubChem, validated by LCSB-ECI","","10.5281/zenodo.3827487","Mammal","13450>>146035701","IROINLKCQGIITA-UHFFFAOYSA-N>>IPQDKPPIYWXHHF-UHFFFAOYSA-N","IROINLKCQGIITA>>IPQDKPPIYWXHHF","CCNC1=NC(=NC(=N1)SC)NC(C)(C)C>>CCNC1=NC(=NC(=N1)SC)NC(C)(C)CO","CCNC1=NC(=NC(=N1)SC)NC(C)(C)C>[Mammalian metabolism]>CCNC1=NC(=NC(=N1)SC)NC(C)(C)CO CID: 13450 to CID: 146035701","241.1361168","257.13103142","15.99491462","-1"
"Terbutryn",13450,"Mammalian metabolism","t-Butylhydroxy-terbutryn","146035701","PMID:678607","PMID:678607","HSDB","HSDB is a toxicology database that focuses on the toxicology of potentially hazardous chemicals. See https://pubchem.ncbi.nlm.nih.gov/source/11933","S68 | HSDBTPS | Transformation Products Extracted from HSDB Content in PubChem, validated by LCSB-ECI","","10.5281/zenodo.3827487","Mammal","13450>>146035701","IROINLKCQGIITA-UHFFFAOYSA-N>>IPQDKPPIYWXHHF-UHFFFAOYSA-N","IROINLKCQGIITA>>IPQDKPPIYWXHHF","CCNC1=NC(=NC(=N1)SC)NC(C)(C)C>>CCNC1=NC(=NC(=N1)SC)NC(C)(C)CO","CCNC1=NC(=NC(=N1)SC)NC(C)(C)C>[Mammalian metabolism]>CCNC1=NC(=NC(=N1)SC)NC(C)(C)CO CID: 13450 to CID: 146035701","241.1361168","257.13103142","15.99491462","-1"
"Terbutryn",13450,"Mammalian metabolism","Terbutylazine-2-hydroxy","135495928","10.5281/zenodo.3827487","Menzie, C.M. Metabolism of Pesticides-Update III. Special Scientific Report- Wildlife No. 232. Washington, DC: U.S.Department of the Interior, Fish and Wildlife Service, 1980., p. 540","HSDB","HSDB is a toxicology database that focuses on the toxicology of potentially hazardous chemicals. See https://pubchem.ncbi.nlm.nih.gov/source/11933","S68 | HSDBTPS | Transformation Products Extracted from HSDB Content in PubChem, validated by LCSB-ECI","","10.5281/zenodo.3827487","Mammal","13450>>135495928","IROINLKCQGIITA-UHFFFAOYSA-N>>OYTCZOJKXCTBHG-UHFFFAOYSA-N","IROINLKCQGIITA>>OYTCZOJKXCTBHG","CCNC1=NC(=NC(=N1)SC)NC(C)(C)C>>CCNC1=NC(=O)NC(=N1)NC(C)(C)C","CCNC1=NC(=NC(=N1)SC)NC(C)(C)C>[Mammalian metabolism]>CCNC1=NC(=O)NC(=N1)NC(C)(C)C CID: 13450 to CID: 135495928","241.1361168","211.14331018","-29.99280662","-3.4"
"Terbutryn",13450,"Mammalian metabolism","Terbutylazine-2-hydroxy","135495928","10.5281/zenodo.3827487","The Royal Society of Chemistry. Foreign Compound Metabolism in Mammals. Volume 6: A Review of the Literature Published during 1978 and 1979. London: The Royal Society of Chemistry, 1981., p. 323","HSDB","HSDB is a toxicology database that focuses on the toxicology of potentially hazardous chemicals. See https://pubchem.ncbi.nlm.nih.gov/source/11933","S68 | HSDBTPS | Transformation Products Extracted from HSDB Content in PubChem, validated by LCSB-ECI","","10.5281/zenodo.3827487","Mammal","13450>>135495928","IROINLKCQGIITA-UHFFFAOYSA-N>>OYTCZOJKXCTBHG-UHFFFAOYSA-N","IROINLKCQGIITA>>OYTCZOJKXCTBHG","CCNC1=NC(=NC(=N1)SC)NC(C)(C)C>>CCNC1=NC(=O)NC(=N1)NC(C)(C)C","CCNC1=NC(=NC(=N1)SC)NC(C)(C)C>[Mammalian metabolism]>CCNC1=NC(=O)NC(=N1)NC(C)(C)C CID: 13450 to CID: 135495928","241.1361168","211.14331018","-29.99280662","-3.4"
"Terbutryn",13450,"Mammalian metabolism","Terbutylazine-2-hydroxy","135495928","PMID:678607","PMID:678607","HSDB","HSDB is a toxicology database that focuses on the toxicology of potentially hazardous chemicals. See https://pubchem.ncbi.nlm.nih.gov/source/11933","S68 | HSDBTPS | Transformation Products Extracted from HSDB Content in PubChem, validated by LCSB-ECI","","10.5281/zenodo.3827487","Mammal","13450>>135495928","IROINLKCQGIITA-UHFFFAOYSA-N>>OYTCZOJKXCTBHG-UHFFFAOYSA-N","IROINLKCQGIITA>>OYTCZOJKXCTBHG","CCNC1=NC(=NC(=N1)SC)NC(C)(C)C>>CCNC1=NC(=O)NC(=N1)NC(C)(C)C","CCNC1=NC(=NC(=N1)SC)NC(C)(C)C>[Mammalian metabolism]>CCNC1=NC(=O)NC(=N1)NC(C)(C)C CID: 13450 to CID: 135495928","241.1361168","211.14331018","-29.99280662","-3.4"
"Terbutryn",13450,"Mammalian metabolism","Terbutylazine-desethyl-2-hydroxy","135612794","10.5281/zenodo.3827487","Menzie, C.M. Metabolism of Pesticides-Update III. Special Scientific Report- Wildlife No. 232. Washington, DC: U.S.Department of the Interior, Fish and Wildlife Service, 1980., p. 540","HSDB","HSDB is a toxicology database that focuses on the toxicology of potentially hazardous chemicals. See https://pubchem.ncbi.nlm.nih.gov/source/11933","S68 | HSDBTPS | Transformation Products Extracted from HSDB Content in PubChem, validated by LCSB-ECI","","10.5281/zenodo.3827487","Mammal","13450>>135612794","IROINLKCQGIITA-UHFFFAOYSA-N>>NUISVCFZNCYUIM-UHFFFAOYSA-N","IROINLKCQGIITA>>NUISVCFZNCYUIM","CCNC1=NC(=NC(=N1)SC)NC(C)(C)C>>CC(C)(C)NC1=NC(=O)NC(=N1)N","CCNC1=NC(=NC(=N1)SC)NC(C)(C)C>[Mammalian metabolism]>CC(C)(C)NC1=NC(=O)NC(=N1)N CID: 13450 to CID: 135612794","241.1361168","183.11201006","-58.02410674","-4.1"
"Terbutryn",13450,"Metabolism","S-Demethyl-desethylterbutryn","146035703","10.5281/zenodo.3827487","Menzie, C.M. Metabolism of Pesticides-Update III. Special Scientific Report- Wildlife No. 232. Washington, DC: U.S.Department of the Interior, Fish and Wildlife Service, 1980., p. 540","HSDB","HSDB is a toxicology database that focuses on the toxicology of potentially hazardous chemicals. See https://pubchem.ncbi.nlm.nih.gov/source/11933","S68 | HSDBTPS | Transformation Products Extracted from HSDB Content in PubChem, validated by LCSB-ECI","","10.5281/zenodo.3827487","rat","13450>>146035703","IROINLKCQGIITA-UHFFFAOYSA-N>>PCHYQLJMADFNMW-UHFFFAOYSA-N","IROINLKCQGIITA>>PCHYQLJMADFNMW","CCNC1=NC(=NC(=N1)SC)NC(C)(C)C>>CC(C)(C)NC1=NC(=S)N=C(N1)N","CCNC1=NC(=NC(=N1)SC)NC(C)(C)C>[Metabolism]>CC(C)(C)NC1=NC(=S)N=C(N1)N CID: 13450 to CID: 146035703","241.1361168","199.08916661","-42.04695019","-3.5"
"Terbutryn",13450,"Oxidation","Terbutylazine-2-hydroxy","135495928","10.1007/s13361-017-1797-6","Schollee et al, Similarity of High-Resolution Tandem Mass Spectrometry Spectra of Structurally Related Micropollutants and Transformation Products, J. Am. Soc. Mass Spectrom. 2017, 28, 12, 2692-2704.","Eawag","Eawag: Swiss Federal Institute for Aquatic Science and Technology (https://www.eawag.ch/en/)","S66 | EAWAGTPS | Parent-Transformation Product Pairs from Eawag | Parent-Transformation Product Pairs from Schollee et al 2017, Eawag.","","10.5281/zenodo.3754449","","13450>>135495928","IROINLKCQGIITA-UHFFFAOYSA-N>>OYTCZOJKXCTBHG-UHFFFAOYSA-N","IROINLKCQGIITA>>OYTCZOJKXCTBHG","CCNC1=NC(=NC(=N1)SC)NC(C)(C)C>>CCNC1=NC(=O)NC(=N1)NC(C)(C)C","CCNC1=NC(=NC(=N1)SC)NC(C)(C)C>[Oxidation]>CCNC1=NC(=O)NC(=N1)NC(C)(C)C CID: 13450 to CID: 135495928","241.1361168","211.14331018","-29.99280662","-3.4"
"Terbutryn",13450,"S-Oxidation / Human Phase I","Terbutrynsulfoxide","101593708","10.1186/s13321-018-0324-5","PMID:9305587","MetXBioDB | SourceID: BIOTID01141","MetXBioDB is a biotransformation database used to improve the knowledge- and machine learning-based systems in BioTransformer (http://biotransformer.ca/)","S73 | METXBIODB | Metabolite Reaction Database from BioTransformer","CYP1A2; CYP2B6; CYP3A4","10.5281/zenodo.4056560","Human","13450>>101593708","IROINLKCQGIITA-UHFFFAOYSA-N>>LMUNBZZRYCNYLJ-UHFFFAOYSA-N","IROINLKCQGIITA>>LMUNBZZRYCNYLJ","CCNC1=NC(=NC(=N1)SC)NC(C)(C)C>>CCNC1=NC(=NC(=N1)S(=O)C)NC(C)(C)C","CCNC1=NC(=NC(=N1)SC)NC(C)(C)C>[S-Oxidation / Human Phase I]>CCNC1=NC(=NC(=N1)S(=O)C)NC(C)(C)C CID: 13450 to CID: 101593708","241.1361168","257.13103142","15.99491462","-2.1"
"Terbutylazine",22206,"Deethylation","Terbutylazine-desethyl","108201","10.1007/s13361-017-1797-6","Schollee et al, Similarity of High-Resolution Tandem Mass Spectrometry Spectra of Structurally Related Micropollutants and Transformation Products, J. Am. Soc. Mass Spectrom. 2017, 28, 12, 2692-2704.","Eawag","Eawag: Swiss Federal Institute for Aquatic Science and Technology (https://www.eawag.ch/en/)","S66 | EAWAGTPS | Parent-Transformation Product Pairs from Eawag | Parent-Transformation Product Pairs from Schollee et al 2017, Eawag.","","10.5281/zenodo.3754449","","22206>>108201","FZXISNSWEXTPMF-UHFFFAOYSA-N>>LMKQNTMFZLAJDV-UHFFFAOYSA-N","FZXISNSWEXTPMF>>LMKQNTMFZLAJDV","CCNC1=NC(=NC(=N1)Cl)NC(C)(C)C>>CC(C)(C)NC1=NC(=NC(=N1)N)Cl","CCNC1=NC(=NC(=N1)Cl)NC(C)(C)C>[Deethylation]>CC(C)(C)NC1=NC(=NC(=N1)N)Cl CID: 22206 to CID: 108201","229.1094232","201.0781231","-28.0313001","-1.1"
"Terbutylazine",22206,"Dehalogenation","Terbutylazine-2-hydroxy","135495928","10.1007/s13361-017-1797-6","Schollee et al, Similarity of High-Resolution Tandem Mass Spectrometry Spectra of Structurally Related Micropollutants and Transformation Products, J. Am. Soc. Mass Spectrom. 2017, 28, 12, 2692-2704.","Eawag","Eawag: Swiss Federal Institute for Aquatic Science and Technology (https://www.eawag.ch/en/)","S66 | EAWAGTPS | Parent-Transformation Product Pairs from Eawag | Parent-Transformation Product Pairs from Schollee et al 2017, Eawag.","","10.5281/zenodo.3754449","","22206>>135495928","FZXISNSWEXTPMF-UHFFFAOYSA-N>>OYTCZOJKXCTBHG-UHFFFAOYSA-N","FZXISNSWEXTPMF>>OYTCZOJKXCTBHG","CCNC1=NC(=NC(=N1)Cl)NC(C)(C)C>>CCNC1=NC(=O)NC(=N1)NC(C)(C)C","CCNC1=NC(=NC(=N1)Cl)NC(C)(C)C>[Dehalogenation]>CCNC1=NC(=O)NC(=N1)NC(C)(C)C CID: 22206 to CID: 135495928","229.1094232","211.14331018","-17.96611302","-2.8"
"Terbutylazine",22206,"Environmental Transformation","CSAA036479","135611801","10.1016/j.watres.2019.114972","New relevant pesticide transformation products in groundwater detected using target and suspect screening for agricultural and urban micropollutants with LC-HRMS, Water Research, Volume 165, 2019, 114972.","Eawag-Soil","www.envipath.org/package; Latino, D.A., Wicker, J., Gutlein, M., Schmid, E., Kramer, S. and Fenner, K., 2017. Eawag-Soil in enviPath: a new resource for exploring regulatory pesticide soil biodegradation pathways and half-life data. Environmental Science Processes and Impacts 19, 449-464.","S60 | SWISSPEST19 | Swiss Pesticides and Metabolites from Kiefer et al 2019 | Swiss Pesticides and Metabolites from Kiefer et al 2019.","","10.5281/zenodo.3544760","","22206>>135611801","FZXISNSWEXTPMF-UHFFFAOYSA-N>>QKOJUBFULGSCQS-UHFFFAOYSA-N","FZXISNSWEXTPMF>>QKOJUBFULGSCQS","CCNC1=NC(=NC(=N1)Cl)NC(C)(C)C>>CC(C)(C(=O)O)NC1=NC(=O)NC(=N1)N","CCNC1=NC(=NC(=N1)Cl)NC(C)(C)C>[Environmental Transformation]>CC(C)(C(=O)O)NC1=NC(=O)NC(=N1)N CID: 22206 to CID: 135611801","229.1094232","213.08618923","-16.02323397","-4.3"
"Terbutylazine",22206,"Environmental Transformation","CSAA04949","135611803","10.1016/j.watres.2019.114972","New relevant pesticide transformation products in groundwater detected using target and suspect screening for agricultural and urban micropollutants with LC-HRMS, Water Research, Volume 165, 2019, 114972.","Eawag-Soil","www.envipath.org/package; Latino, D.A., Wicker, J., Gutlein, M., Schmid, E., Kramer, S. and Fenner, K., 2017. Eawag-Soil in enviPath: a new resource for exploring regulatory pesticide soil biodegradation pathways and half-life data. Environmental Science Processes and Impacts 19, 449-464.","S60 | SWISSPEST19 | Swiss Pesticides and Metabolites from Kiefer et al 2019 | Swiss Pesticides and Metabolites from Kiefer et al 2019.","","10.5281/zenodo.3544760","","22206>>135611803","FZXISNSWEXTPMF-UHFFFAOYSA-N>>AXUUYNNVNOSTRP-UHFFFAOYSA-N","FZXISNSWEXTPMF>>AXUUYNNVNOSTRP","CCNC1=NC(=NC(=N1)Cl)NC(C)(C)C>>CCNC1=NC(=O)NC(=N1)NC(C)(C)C(=O)O","CCNC1=NC(=NC(=N1)Cl)NC(C)(C)C>[Environmental Transformation]>CCNC1=NC(=O)NC(=N1)NC(C)(C)C(=O)O CID: 22206 to CID: 135611803","229.1094232","241.11748936","12.00806616","-3.6"
"Terbutylazine",22206,"Environmental Transformation","CSCD648241","139597106","10.1016/j.watres.2019.114972","New relevant pesticide transformation products in groundwater detected using target and suspect screening for agricultural and urban micropollutants with LC-HRMS, Water Research, Volume 165, 2019, 114972.","Eawag-Soil","www.envipath.org/package; Latino, D.A., Wicker, J., Gutlein, M., Schmid, E., Kramer, S. and Fenner, K., 2017. Eawag-Soil in enviPath: a new resource for exploring regulatory pesticide soil biodegradation pathways and half-life data. Environmental Science Processes and Impacts 19, 449-464.","S60 | SWISSPEST19 | Swiss Pesticides and Metabolites from Kiefer et al 2019 | Swiss Pesticides and Metabolites from Kiefer et al 2019.","","10.5281/zenodo.3544760","","22206>>139597106","FZXISNSWEXTPMF-UHFFFAOYSA-N>>SKWILWLBILDCEB-UHFFFAOYSA-N","FZXISNSWEXTPMF>>SKWILWLBILDCEB","CCNC1=NC(=NC(=N1)Cl)NC(C)(C)C>>CC(C)(C)NC1=NC(=O)N(C(=O)N1)C","CCNC1=NC(=NC(=N1)Cl)NC(C)(C)C>[Environmental Transformation]>CC(C)(C)NC1=NC(=O)N(C(=O)N1)C CID: 22206 to CID: 139597106","229.1094232","198.1116757","-30.9977475","-3"
