"predecessor","predecessorcid","transformation","successor","successorcid","evidencedoi","evidenceref","sourcecomment","sourcecommentfull","datasetref","enzyme","datasetdoi","biosystem"
"(+)-bisoprolol",6604464,"O-deisopropylation / Human Phase I","(+)-bisoprolol, O-deisopropyl","154699480","10.1186/s13321-018-0324-5","Horikiri, Y. (1998); Pharmacokinetics and Metabolism of Bisoprolol Enantiomers in Humans; Journal of Pharmaceutical Sciences; Vol. 87, No. 3","MetXBioDB | SourceID: BIOTID00047","MetXBioDB is a biotransformation database used to improve the knowledge- and machine learning-based systems in BioTransformer (http://biotransformer.ca/)","S73 | METXBIODB | Metabolite Reaction Database from BioTransformer","CYP2D6; CYP3A4","10.5281/zenodo.4056560","Human"
"(+)-Camphor",159055,"Hydroxlation of methyl carbon adjacent to an aliphatic ring / Human Phase I","5-exo-hydroxycamphor","154699783","10.1186/s13321-018-0324-5","Jaeger, W. and Haeferl, M.; Metabolism of Terpenoids in Animal Models and Humans (Chapter 9) in Handbook of Essential Oils - Science, Technology, and Applications, Second Edition; Edited by K. Husnu Can Baser and Gerhard Buchbauer; CRC Press 2015; pp. 253-279.","MetXBioDB | SourceID: BIOTID01358","MetXBioDB is a biotransformation database used to improve the knowledge- and machine learning-based systems in BioTransformer (http://biotransformer.ca/)","S73 | METXBIODB | Metabolite Reaction Database from BioTransformer","CYP2D6","10.5281/zenodo.4056560","Human"
"(+)-Camphor",159055,"Hydroxylation of alicyclic secondary carbon / Human Phase I","8-hydroxycamphor","130813327","10.1186/s13321-018-0324-5","Jaeger, W. and Haeferl, M.; Metabolism of Terpenoids in Animal Models and Humans (Chapter 9) in Handbook of Essential Oils - Science, Technology, and Applications, Second Edition; Edited by K. Husnu Can Baser and Gerhard Buchbauer; CRC Press 2015; pp. 253-279.","MetXBioDB | SourceID: BIOTID01359","MetXBioDB is a biotransformation database used to improve the knowledge- and machine learning-based systems in BioTransformer (http://biotransformer.ca/)","S73 | METXBIODB | Metabolite Reaction Database from BioTransformer","CYP2D6","10.5281/zenodo.4056560","Human"
"(+)-fipronil",15278225,"S-oxidation of sulfoxide to sulfone / Human Phase I","fipronil sulfone","3078139","10.1186/s13321-018-0324-5","Tang, J. et al. (2004); In vitro metabolism of fipronil by human and rat cytochrome P450 and its interactions with testosterone and diazepam; Chem Biol Interact. 2004 Apr 15; 147(3):319-29","MetXBioDB | SourceID: BIOTID00048","MetXBioDB is a biotransformation database used to improve the knowledge- and machine learning-based systems in BioTransformer (http://biotransformer.ca/)","S73 | METXBIODB | Metabolite Reaction Database from BioTransformer","CYP3A4","10.5281/zenodo.4056560","Human"
"(+)-halofantrine",36688213,"N-dealkylation of acyclic tertiary amine / Human Phase I","(+)-halofantrine, N-desbutyl","76971137","10.1186/s13321-018-0324-5","Halliday, R.C. et al. An investigation of the interaction between halofantrine, CYP2D6 and CYP3A4: studies with human liver microsomes and heterologous enzyme expression systems. Br J Clin Phar- macol 1995; 40: 369-78.","MetXBioDB | SourceID: BIOTID00049","MetXBioDB is a biotransformation database used to improve the knowledge- and machine learning-based systems in BioTransformer (http://biotransformer.ca/)","S73 | METXBIODB | Metabolite Reaction Database from BioTransformer","CYP3A4","10.5281/zenodo.4056560","Human"
"(+)-isothujone",91456,"Hydroxylation of penultimate aliphatic tertiary carbon / Human Phase I","4-Hydroxy-beta-thujone","45096397","10.1186/s13321-018-0324-5","Jaeger, W. and Haeferl, M.; Metabolism of Terpenoids in Animal Models and Humans (Chapter 9) in Handbook of Essential Oils - Science, Technology, and Applications, Second Edition; Edited by K. Husnu Can Baser and Gerhard Buchbauer; CRC Press 2015; pp. 253-279.","MetXBioDB | SourceID: BIOTID00050","MetXBioDB is a biotransformation database used to improve the knowledge- and machine learning-based systems in BioTransformer (http://biotransformer.ca/)","S73 | METXBIODB | Metabolite Reaction Database from BioTransformer","CYP2A6; CYP2B6; CYP2D6; CYP3A4","10.5281/zenodo.4056560","Human"
"(+)-isothujone",91456,"Hydroxylation of penultimate aliphatic tertiary carbon / Human Phase I","7-Hydroxy-beta-thujone","130754407","10.1186/s13321-018-0324-5","Jaeger, W. and Haeferl, M.; Metabolism of Terpenoids in Animal Models and Humans (Chapter 9) in Handbook of Essential Oils - Science, Technology, and Applications, Second Edition; Edited by K. Husnu Can Baser and Gerhard Buchbauer; CRC Press 2015; pp. 253-279.","MetXBioDB | SourceID: BIOTID00051","MetXBioDB is a biotransformation database used to improve the knowledge- and machine learning-based systems in BioTransformer (http://biotransformer.ca/)","S73 | METXBIODB | Metabolite Reaction Database from BioTransformer","CYP2A6; CYP2B6; CYP2D6; CYP3A4","10.5281/zenodo.4056560","Human"
"(+)-limonene",440917,"Hydroxlation of methyl carbon adjacent to an aliphatic ring / Human Phase I","Limonen-10-ol","10819","10.1186/s13321-018-0324-5","Jaeger, W. and Haeferl, M.; Metabolism of Terpenoids in Animal Models and Humans (Chapter 9) in Handbook of Essential Oils - Science, Technology, and Applications, Second Edition; Edited by K. Husnu Can Baser and Gerhard Buchbauer; CRC Press 2015; pp. 253-279.","MetXBioDB | SourceID: BIOTID01461","MetXBioDB is a biotransformation database used to improve the knowledge- and machine learning-based systems in BioTransformer (http://biotransformer.ca/)","S73 | METXBIODB | Metabolite Reaction Database from BioTransformer","CYP2C9; CYP2C19; CYP3A4","10.5281/zenodo.4056560","Human"
"(+)-limonene",440917,"Hydroxylation of alicyclic secondary carbon / Human Phase I","Carveol","7438","10.1186/s13321-018-0324-5","Jaeger, W. and Haeferl, M.; Metabolism of Terpenoids in Animal Models and Humans (Chapter 9) in Handbook of Essential Oils - Science, Technology, and Applications, Second Edition; Edited by K. Husnu Can Baser and Gerhard Buchbauer; CRC Press 2015; pp. 253-279.","MetXBioDB | SourceID: BIOTID01460","MetXBioDB is a biotransformation database used to improve the knowledge- and machine learning-based systems in BioTransformer (http://biotransformer.ca/)","S73 | METXBIODB | Metabolite Reaction Database from BioTransformer","CYP2C9; CYP2C19","10.5281/zenodo.4056560","Human"
"(+/-)-pterosin B",5320780,"NULL","(+/-)-6-(1,2-dihydroxyethyl)-2,5,7-trimethyl-1-indanone","118753154","10.1124/dmd.112.045039","22587987","ChEMBL IDs (pred,succ,enzyme): CHEMBL3527498|CHEMBL3526791|NULL","metid:2727; protacxns:NULL; geneids:NULL","ChEMBL","NULL",NA,NA
"(+/-)-pterosin B",5320780,"NULL","(+/-)-Pterosin E","5320784","10.1124/dmd.112.045039","22587987","ChEMBL IDs (pred,succ,enzyme): CHEMBL3527498|CHEMBL3526643|NULL","metid:2068; protacxns:NULL; geneids:NULL","ChEMBL","NULL",NA,NA
"(+/-)-pterosin B",5320780,"NULL","(+/-)-pterosin P","53462519","10.1124/dmd.112.045039","22587987","ChEMBL IDs (pred,succ,enzyme): CHEMBL3527498|CHEMBL3526275|NULL","metid:2070; protacxns:NULL; geneids:NULL","ChEMBL","NULL",NA,NA
"(+/-)-pterosin B",5320780,"NULL","(2R,3S)-pterosin C","46850077","10.1124/dmd.112.045039","22587987","ChEMBL IDs (pred,succ,enzyme): CHEMBL3527498|CHEMBL3526266|NULL","metid:2322; protacxns:NULL; geneids:NULL","ChEMBL","NULL",NA,NA
"(+/-)-pterosin B",5320780,"NULL","(2S,3S)-pterosin C","186209","10.1124/dmd.112.045039","22587987","ChEMBL IDs (pred,succ,enzyme): CHEMBL3527498|CHEMBL3526273|NULL","metid:2071; protacxns:NULL; geneids:NULL","ChEMBL","NULL",NA,NA
"(+/-)-pterosin B",5320780,"NULL","14-O-beta-D-glucuronylpterosin B","118753065","10.1124/dmd.112.045039","22587987","ChEMBL IDs (pred,succ,enzyme): CHEMBL3527498|CHEMBL3526545|NULL","metid:2069; protacxns:NULL; geneids:NULL","ChEMBL","NULL",NA,NA
